"OD750","OD680","Observation_Date_Time"
1.09,1.7,"1/29/2015 9:00:00 AM"
1.19,1.97,"1/29/2015 9:00:00 AM"
1.21,1.98,"1/29/2015 9:00:00 AM"
0.768,1.131,"1/29/2015 9:00:00 AM"
0.768,1.131,"1/29/2015 9:00:00 AM"
0.799,1.199,"1/29/2015 9:00:00 AM"
0.799,1.199,"1/29/2015 9:00:00 AM"
0.886,1.335,"1/29/2015 9:00:00 AM"
0.886,1.335,"1/29/2015 9:00:00 AM"
0.886,1.335,"1/29/2015 9:00:00 AM"
0.83,1.236,"1/30/2015 10:00:00 AM"
0.841,1.256,"1/30/2015 10:00:00 AM"
0.922,1.385,"1/30/2015 10:00:00 AM"
0.393,0.393,"1/30/2015 12:00:00 AM"
0.415,0.415,"1/30/2015 12:00:00 AM"
0.418,0.418,"1/30/2015 12:00:00 AM"
1.344,1.344,"1/30/2015 12:00:00 AM"
1.25,1.92,"1/30/2015 2:30:00 PM"
1.36,2.2,"1/30/2015 2:30:00 PM"
1.35,2.2,"1/30/2015 2:30:00 PM"
1.89,3.1,"1/30/2015 2:30:00 PM"
1.91,3.12,"1/30/2015 2:30:00 PM"
2.17,3.55,"1/30/2015 2:30:00 PM"
0.83,1.236,"1/30/2015 9:00:00 AM"
0.83,1.236,"1/30/2015 9:00:00 AM"
0.841,1.256,"1/30/2015 9:00:00 AM"
0.841,1.256,"1/30/2015 9:00:00 AM"
0.922,1.385,"1/30/2015 9:00:00 AM"
0.922,1.385,"1/30/2015 9:00:00 AM"
0.922,1.385,"1/30/2015 9:00:00 AM"
1.33,2.2,"1/30/2015 9:00:00 AM"
1.82,2.98,"1/30/2015 9:00:00 AM"
1.13,1.77,"1/30/2015 9:00:00 AM"
1.27,2.13,"1/30/2015 9:00:00 AM"
2.02,3.33,"1/30/2015 9:00:00 AM"
1.93,3.11,"1/30/2015 9:00:00 AM"
0.678,0.958,"1/31/2015 10:00:00 AM"
0.695,1,"1/31/2015 10:00:00 AM"
0.743,1.078,"1/31/2015 10:00:00 AM"
"NA","NA","1/31/2015 9:00:00 AM"
"NA","NA","1/31/2015 9:00:00 AM"
"NA","NA","1/31/2015 9:00:00 AM"
"NA","NA","1/31/2015 9:00:00 AM"
"NA","NA","1/31/2015 9:00:00 AM"
"NA","NA","1/31/2015 9:00:00 AM"
0.678,0.958,"1/31/2015 9:00:00 AM"
0.678,0.958,"1/31/2015 9:00:00 AM"
0.695,1,"1/31/2015 9:00:00 AM"
0.695,1,"1/31/2015 9:00:00 AM"
0.743,1.078,"1/31/2015 9:00:00 AM"
0.743,1.078,"1/31/2015 9:00:00 AM"
0.743,1.078,"1/31/2015 9:00:00 AM"
0.639,0.888,"1/5/2015 10:00:00 AM"
0.653,0.906,"1/5/2015 10:00:00 AM"
0.639,0.888,"1/5/2015 9:00:00 AM"
0.639,0.888,"1/5/2015 9:00:00 AM"
0.653,0.906,"1/5/2015 9:00:00 AM"
0.653,0.906,"1/5/2015 9:00:00 AM"
0.653,0.906,"1/5/2015 9:00:00 AM"
0.65,0.913,"1/6/2015 10:00:00 AM"
0.67,0.947,"1/6/2015 10:00:00 AM"
0.65,0.913,"1/6/2015 9:00:00 AM"
0.65,0.913,"1/6/2015 9:00:00 AM"
0.67,0.947,"1/6/2015 9:00:00 AM"
0.67,0.947,"1/6/2015 9:00:00 AM"
0.67,0.947,"1/6/2015 9:00:00 AM"
0.692,0.984,"1/7/2015 10:00:00 AM"
0.697,1.002,"1/7/2015 10:00:00 AM"
0.18,0.233,"1/7/2015 2:45:00 PM"
0.18,0.233,"1/7/2015 2:45:00 PM"
0.18,0.233,"1/7/2015 3:45:00 PM"
0.692,0.984,"1/7/2015 9:00:00 AM"
0.692,0.984,"1/7/2015 9:00:00 AM"
0.697,1.002,"1/7/2015 9:00:00 AM"
0.697,1.002,"1/7/2015 9:00:00 AM"
0.697,1.002,"1/7/2015 9:00:00 AM"
0.162,0.212,"1/8/2015 10:00:00 AM"
0.742,1.076,"1/8/2015 10:00:00 AM"
0.759,1.124,"1/8/2015 10:00:00 AM"
0.162,0.212,"1/8/2015 9:00:00 AM"
0.162,0.212,"1/8/2015 9:00:00 AM"
0.742,1.076,"1/8/2015 9:00:00 AM"
0.742,1.076,"1/8/2015 9:00:00 AM"
0.759,1.124,"1/8/2015 9:00:00 AM"
0.759,1.124,"1/8/2015 9:00:00 AM"
0.759,1.124,"1/8/2015 9:00:00 AM"
0.166,0.218,"1/9/2015 10:00:00 AM"
0.743,1.085,"1/9/2015 10:00:00 AM"
0.765,1.132,"1/9/2015 10:00:00 AM"
0.166,0.218,"1/9/2015 9:00:00 AM"
0.166,0.218,"1/9/2015 9:00:00 AM"
0.743,1.085,"1/9/2015 9:00:00 AM"
0.743,1.085,"1/9/2015 9:00:00 AM"
0.765,1.132,"1/9/2015 9:00:00 AM"
0.765,1.132,"1/9/2015 9:00:00 AM"
0.765,1.132,"1/9/2015 9:00:00 AM"
0.091,0.103,"10/15/2014 12:15:00 PM"
0.091,0.103,"10/15/2014 12:15:00 PM"
0.112,0.129,"10/15/2014 12:15:00 PM"
0.127,0.144,"10/15/2014 12:15:00 PM"
0.088,0.106,"10/16/2014 8:00:00 AM"
0.088,0.106,"10/16/2014 8:00:00 AM"
0.116,0.132,"10/16/2014 8:00:00 AM"
0.133,0.165,"10/16/2014 8:00:00 AM"
0.228,0.291,"10/17/2014 8:00:00 AM"
0.233,0.306,"10/17/2014 8:00:00 AM"
0.233,0.306,"10/17/2014 8:00:00 AM"
0.272,0.349,"10/17/2014 8:00:00 AM"
0.415,0.534,"10/18/2014 9:00:00 AM"
0.459,0.583,"10/18/2014 9:00:00 AM"
0.464,0.603,"10/18/2014 9:00:00 AM"
0.464,0.603,"10/18/2014 9:00:00 AM"
0.691,0.967,"10/19/2014 9:00:00 AM"
0.729,0.991,"10/19/2014 9:00:00 AM"
0.763,1.063,"10/19/2014 9:00:00 AM"
0.763,1.063,"10/19/2014 9:00:00 AM"
1.08,1.395,"10/20/2014 11:45:00 AM"
1.07,1.39,"10/20/2014 9:00:00 AM"
1.11,1.415,"10/20/2014 9:00:00 AM"
1.11,1.415,"10/20/2014 9:00:00 AM"
1.43,1.825,"10/21/2014 9:00:00 AM"
1.43,1.825,"10/21/2014 9:00:00 AM"
1.66,2.2,"10/21/2014 9:00:00 AM"
1.706,2.255,"10/21/2014 9:00:00 AM"
2.335,3.073,"10/22/2014 2:10:00 PM"
1.705,2.253,"10/22/2014 9:00:00 AM"
1.705,2.253,"10/22/2014 9:00:00 AM"
1.738,2.28,"10/22/2014 9:00:00 AM"
1.74,2.313,"10/22/2014 9:00:00 AM"
2.065,2.728,"10/23/2014 1:45:00 PM"
2.378,3.095,"10/23/2014 1:45:00 PM"
2.275,2.89,"10/23/2014 2:30:00 PM"
2.275,2.89,"10/23/2014 2:30:00 PM"
0.734,0.974,"10/23/2014 4:20:00 PM"
2.268,2.918,"10/23/2014 4:20:00 PM"
2.47,3.26,"10/23/2014 9:00:00 AM"
2.648,3.075,"10/23/2014 9:00:00 AM"
2.275,2.998,"10/23/2014 9:00:00 AM"
2.275,2.998,"10/23/2014 9:00:00 AM"
0.133,0.171,"10/24/2014 9:00:00 AM"
0.133,0.171,"10/24/2014 9:00:00 AM"
0.728,0.965,"10/24/2014 9:00:00 AM"
0.747,1.009,"10/24/2014 9:00:00 AM"
0.163,0.198,"10/25/2014 9:30:00 AM"
0.163,0.198,"10/25/2014 9:30:00 AM"
0.743,1.008,"10/25/2014 9:30:00 AM"
1.077,1.459,"10/25/2014 9:30:00 AM"
0.529,0.727,"10/27/2014 9:00:00 AM"
0.529,0.727,"10/27/2014 9:00:00 AM"
2.145,2.76,"10/27/2014 9:00:00 AM"
2.188,2.868,"10/27/2014 9:00:00 AM"
0.684,0.956,"10/28/2014 9:00:00 AM"
0.684,0.956,"10/28/2014 9:00:00 AM"
2.213,2.81,"10/28/2014 9:00:00 AM"
2.293,2.955,"10/28/2014 9:00:00 AM"
0.828,1.212,"10/29/2014 9:00:00 AM"
0.828,1.212,"10/29/2014 9:00:00 AM"
2.528,3.295,"10/29/2014 9:00:00 AM"
2.845,3.688,"10/29/2014 9:00:00 AM"
0.719,0.976,"10/30/2014 1:30:00 PM"
0.782,1.04,"10/30/2014 1:30:00 PM"
0.74,0.946,"10/30/2014 11:00:00 AM"
0.74,0.946,"10/30/2014 11:00:00 AM"
1.175,1.49,"10/30/2014 9:00:00 AM"
1.175,1.49,"10/30/2014 9:00:00 AM"
2.488,3.223,"10/30/2014 9:00:00 AM"
2.5,3.195,"10/30/2014 9:00:00 AM"
0.983,1.29,"10/31/2014 9:15:00 AM"
0.956,1.293,"10/31/2014 9:15:00 AM"
0.169,0.217,"11/1/2014 9:00:00 AM"
0.169,0.217,"11/1/2014 9:00:00 AM"
1.231,1.651,"11/1/2014 9:00:00 AM"
1.217,1.701,"11/1/2014 9:00:00 AM"
1.07,1.72,"11/10/2014 10:00:00 AM"
1.08,1.8,"11/10/2014 10:00:00 AM"
1.08,1.8,"11/10/2014 10:00:00 AM"
3.125,4.205,"11/10/2014 2:30:00 PM"
1.077,1.461,"11/10/2014 2:45:00 PM"
1.26,2.18,"11/10/2014 3:30:00 PM"
1.26,2.18,"11/10/2014 3:30:00 PM"
3.013,4.058,"11/10/2014 9:00:00 AM"
0.029,0.036,"11/10/2014 9:00:00 AM"
0.029,0.036,"11/10/2014 9:00:00 AM"
0.753,0.993,"11/10/2014 9:00:00 AM"
1.21,2.01,"11/11/2014 10:00:00 AM"
1.31,2.11,"11/11/2014 10:00:00 AM"
1.31,2.11,"11/11/2014 10:00:00 AM"
1.4,2.32,"11/11/2014 3:30:00 PM"
1.4,2.32,"11/11/2014 3:30:00 PM"
1.36,2.24,"11/12/2014 10:00:00 AM"
1.36,2.3,"11/12/2014 10:00:00 AM"
1.36,2.3,"11/12/2014 10:00:00 AM"
1.48,2.49,"11/12/2014 3:30:00 PM"
1.48,2.49,"11/12/2014 3:30:00 PM"
1.58,2.04,"11/12/2014 9:00:00 AM"
0.027,0.031,"11/12/2014 9:00:00 AM"
0.027,0.031,"11/12/2014 9:00:00 AM"
0.625,0.835,"11/12/2014 9:00:00 AM"
